year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2057,,233.34913112164296,265.4382468505691,300.13238546603475,259.1137440758294,280.0477068131096,301.79857819905214,267.3510531858873,295.1924457848629,315.41995787256457
2058,,217.6673512374934,261.02880058330294,313.43359662980515,266.47604002106374,288.6865768951077,315.9254870984729,273.80455502896257,301.8950643879553,325.97451290152713
2059,,224.58051606108478,267.38295459148543,306.39752501316485,270.73907319641916,293.82770380400706,315.41574512901525,276.5338862559242,302.12408444635935,328.0250921537652
2060,,260.44823591363877,276.96052578280063,294.07193259610324,253.5210637177462,283.37223852152755,303.78436018957353,269.55155344918376,296.44801091483555,331.41408636124277
2061,,254.96824644549764,284.9636650868879,310.263981042654,264.52290679304895,283.590925048271,309.3988941548183,273.7313322801474,297.03213413758436,326.07883096366515
2062,,225.53222748815168,262.2307287236197,297.75560821484993,271.3522906793049,292.0922666064846,321.77066877303844,272.95373880989996,299.4300349466226,332.2853870458136
2063,,238.56824644549764,265.7257665978046,298.5790942601369,263.6716692996314,288.5276712053963,315.8828330700369,284.7310953133228,311.12185839437024,335.4271721958926
2064,,226.06808846761453,261.40756268481385,298.0301737756714,254.32675092153764,286.1951904511147,308.713533438652,271.9534755134281,300.5882641581694,329.3950500263296
2065,,236.24339125855715,271.9858427512455,309.57672459189047,264.8204318062138,281.8685022192131,306.73538704581364,276.04836756187467,306.79516731293984,342.82596103212217
2066,,243.00463401790415,282.7819500141775,325.491785150079,265.4088994207478,287.58292585069836,317.33649289099526,284.99781463928383,315.030757815118,335.3358083201685
2067,,258.26276987888366,281.4773362498481,304.7632964718273,255.39889415481832,282.46020461897245,304.3807266982623,269.17124802527644,308.74520082339984,340.9294892048447
2068,,242.2588204318062,268.13740025114436,298.8130068457083,263.4892048446551,290.2026881315981,317.652448657188,278.71653501843076,308.58840777442674,335.59647182727747
2069,,254.02369668246445,269.31917608457894,297.6011058451817,260.8225381779884,294.93219488954094,320.2951553449184,292.1561348077936,316.182189190483,340.69899947340707
2070,,226.2663507109005,271.01986875683554,304.4364928909953,268.33570300157976,293.1315980842047,320.4452343338599,283.8311743022644,308.328474316626,331.1255660874144
2071,,228.8788309636651,264.12455948474906,293.6718272775145,255.10057925223802,284.8203565786504,319.46603475513433,286.82801474460246,312.64008569103356,335.73909952606635
2072,,238.96477093206948,265.66117794790785,291.0592417061611,260.08952080042127,283.21917550590535,306.436018957346,294.41350710900474,317.200248934846,343.617430226435
2073,,246.02943654555028,272.1826872442986,311.66924697209055,260.0634544497104,286.89243712229495,311.55766192733023,298.00118483412325,317.87415625448807,338.5014744602422
2074,,242.35223802001053,276.3500222789322,308.76324381253295,250.7556608741443,290.4129240953886,315.45392311743024,287.7632701421801,313.6666307626023,339.58504476040025
2075,,245.2214849921011,266.5957589014461,297.7241706161137,267.07372301211166,286.6352591589559,306.92943654555035,291.3832280147446,317.7108166977835,341.1919957872565
2076,,232.6768299104792,274.1307368250496,302.21879936808847,264.6614007372301,283.8496827904411,303.5339652448658,304.5016850974197,323.9575374599071,342.7350710900474
2077,,232.08072669826223,273.90531453801594,318.8973670352817,276.0326487625066,291.84159582737783,311.2130068457083,303.7766719325961,322.2073579395855,342.4792785676672
2078,,248.65903106898367,266.26736744035327,294.63001579778836,283.0258030542391,295.6649364327089,309.16692996313856,284.43736176935226,319.4230934941835,344.5577935755661
2079,,244.46635071090049,273.8227002065865,301.86729857819904,272.55055292259084,294.6452142731763,316.08372827804106,281.0273038441285,317.63132509933445,349.37353870458134
2080,,242.58362295945236,274.04427431441644,304.8646656134808,283.13112164296996,308.04158830462154,325.6590310689837,287.32135334386516,321.2556848101871,346.79531332280146
