year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1998,0.0,-1166.4755327373177,-1198.105394299866,-1490.8069774112107,-1277.627780891255,-1092.072440437199,-1253.7209348676126,-1259.3757387735272,-1320.041839456314,-1160.279617682555,-1403.6258120398074,-1140.0555359892705,-1199.6657858184935,-1494.7893135218803,-1266.3699503271664,-1079.964871301739,-1244.3391700516036,-1260.3175076641855,-1328.0889867127503,-1146.5044211786117,-1384.785036776082
1999,0.0,-1079.3919815270197,-1176.9390419162387,-1486.5301588820116,-1287.1000243536266,-974.9276895715739,-1267.3625715463654,-1221.5440458567996,-1283.7196716823473,-1128.5167865507133,-1292.5890643746181,-1058.519251219504,-1179.008199028669,-1489.5801392582498,-1279.9632034690246,-973.7722560090501,-1254.4752025618773,-1219.5581985424033,-1287.1913280188755,-1121.1709519416736,-1272.9751255920207
2000,0.0,-1091.1116202959897,-1313.9053841024165,-1488.449312490304,-1261.3432842156167,-1038.0266832761795,-1229.327288196256,-1302.410126671973,-1262.8758498858228,-1179.5725562478297,-1304.871682024398,-1062.330165244639,-1313.691898593815,-1488.7611932649963,-1248.6327857302767,-1030.2726275095197,-1215.910670010254,-1300.3599900209915,-1264.8603492790426,-1173.1574699610337,-1289.5953529842075
2001,0.0,-1166.6372879660607,-1275.3180731890593,-1514.564420914335,-1265.7282618466368,-1024.7556666939759,-1350.7109806476979,-1151.30513476551,-1269.2313900843465,-1078.5836196781029,-1299.4030086923653,-1144.558484456355,-1276.4288377045727,-1525.329284183806,-1261.3903454386925,-1019.08292675746,-1335.2305968695773,-1146.6897875378818,-1267.4197187992072,-1076.905441397908,-1288.7506165018826
2002,0.0,-1138.677754209115,-1263.38410223242,-1468.210604225443,-1215.6132118480482,-1036.0844370106438,-1246.3764837786034,-1292.591748516963,-1292.135833425236,-1041.6580354841558,-1302.8300311412295,-1114.8796282024005,-1263.7580891015486,-1472.0272178107266,-1211.333364127956,-1033.5531941726726,-1238.792703959931,-1290.6785194813706,-1291.6201333089425,-1044.3760955383054,-1284.2667471391442
2003,0.0,-1167.4537316582241,-1223.679644969236,-1447.9423869385796,-1266.5628271644096,-1090.5691838352996,-1291.3236433134298,-1293.475727502847,-1259.6412015439687,-1115.1958334101741,-1306.6943100803396,-1149.1729184818205,-1227.3618534939806,-1449.631579865523,-1256.8233750234544,-1085.3887593778995,-1287.459367555954,-1284.2250134424894,-1258.8011049268925,-1107.882915853314,-1290.5578030106724
2004,0.0,-1199.7434271751395,-1265.1210597224876,-1512.3193361068843,-1273.7303516244012,-1092.14718121256,-1313.870501404143,-1193.8715867191377,-1293.3577731433566,-1130.0238513008871,-1407.2850667125822,-1167.6638726273713,-1270.307433262244,-1514.0205581689177,-1262.4668014414463,-1084.1804587965285,-1304.372931408161,-1196.5773583452683,-1290.5794383688044,-1125.5276660051368,-1377.2217806123535
2005,0.0,-1250.8837377245563,-1269.6987406366375,-1534.7307004680117,-1321.0170870445077,-1044.836651540128,-1259.9253425237007,-1232.1599753895198,-1250.1759408132034,-1192.6478780833145,-1337.8038501090437,-1228.274787918429,-1272.3820240083924,-1540.2286090446946,-1308.6481103528777,-1033.2523744042028,-1253.0919314236967,-1232.1518989978722,-1248.7489337745237,-1186.4931546371622,-1318.4537854467053
2006,0.0,-1161.724610875156,-1267.706294904232,-1540.554393558751,-1277.5613272594264,-1007.4196969146192,-1269.1226622508216,-1214.812289108365,-1300.1217650118479,-1192.2369376569868,-1292.5367845446535,-1171.1071176859323,-1142.2671401843609,-1571.4394968556742,-1312.5411520934113,-996.7259840412776,-1350.631005539581,-1148.7478738541004,-1301.5808806531486,-1173.7333592570712,-1367.7368990196583
2007,0.0,-1160.608391116847,-1246.4041921437602,-1527.1367141102128,-1319.7196766786483,-999.9217018692921,-1297.312510985214,-1260.963467508282,-1310.2246079895895,-1144.873478430054,-1292.203240342049,-1107.7852435076652,-1236.695790466987,-1495.229048616147,-1229.8447570893218,-1028.1525727998956,-1390.4321787507652,-1263.1358301095465,-1222.0631772712763,-1117.1421258293485,-1312.1390932158038
2008,0.0,-1103.847964170976,-1223.34433056422,-1477.8074030979292,-1343.6858249296274,-1078.9874189920238,-1333.754183024871,-1343.966923921916,-1220.7807419565784,-1132.2277092779686,-1326.4336942864861,-1110.4355185900058,-1274.284877685635,-1421.8425489880547,-1366.7820773728022,-1012.4390929806104,-1280.8317079655953,-1293.0074705328093,-1269.3046252923127,-1063.590986378409,-1321.1936362809845
2009,0.0,-1163.9654548155709,-1226.7094872208618,-1493.1628561991135,-1297.4319316181075,-999.411045555793,-1266.9161180249062,-1317.047712848725,-1310.7632706170548,-1125.8312192936755,-1313.390811433971,-1068.75080199078,-1293.3424496871758,-1498.2317919042603,-1353.0943440143524,-1026.3219811021781,-1253.8590652057585,-1253.1952289000883,-1278.6562721728205,-1055.0973789512618,-1339.5899625661773
2010,0.0,-1255.0086028009546,-1253.9947440021888,-1587.3014330686094,-1346.2237828050197,-1079.6147921462893,-1333.0831573647856,-1293.3875260072905,-1311.2886773380797,-1215.2365821508179,-1313.9420620279602,-1224.8879320920873,-1247.8372815373032,-1578.4348723150424,-1309.5766448986656,-975.885772652262,-1227.0111311053392,-1307.3477836117327,-1239.6529477765034,-1156.4765218905295,-1353.1389476460204
