year,ref,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
2050,,31.45311149998729,30.86499955803643,32.601168461441574,31.805509004435383,31.08549275288051,32.83538375344832
2051,,31.595422973148608,30.976941056115688,32.152111208535565,31.716338415041992,30.98145391145592,32.93645363687433
2052,,31.65106527724665,30.912019460320224,32.68930442476014,31.95559512863957,31.08793284649496,32.84594395369134
2053,,31.616429590697024,30.868354296550446,32.49401511774472,32.07323772394062,31.08398176653926,32.78517766372749
2054,,31.58910522600226,30.84024156234028,32.757767576024285,32.23297582455171,31.496561208505607,32.88343279166559
2055,,31.712704754909623,31.14490783320604,33.478744903511775,32.21217373342088,31.30707895331551,33.30857703135711
2056,,31.480178319838046,30.679018689662197,32.299171819298145,32.172590858478095,31.443411704098903,33.30643974824598
2057,,31.498592868801524,30.89503965792053,32.42118675606441,32.2138203555461,31.366706112928185,33.39981784838889
2058,,31.696421569863077,30.631179162472577,33.15778026714701,32.26494874672679,31.50376469045847,33.205850696052565
2059,,31.68564296792702,30.741455519566067,32.979879073174786,32.44774380199585,31.51992541597373,33.34236681310424
2060,,31.779873425198097,30.85642491300732,32.96058831032906,32.29010288606168,31.41929258464161,33.24558283212593
2061,,31.695626552382475,30.75314230516755,32.80209265418305,32.38401271341331,31.49287896119084,33.17056985405636
2062,,31.87341631720581,30.9815936705087,32.93909044937729,32.27577227364548,31.22881944660969,33.36253040179234
2063,,31.870272739234835,30.953431611717964,32.82364020353039,32.444181811473065,31.355281075739374,33.46421427728415
2064,,31.72487770463068,30.740469787627685,32.47278405642152,32.39082081739716,31.495161846176035,33.85721284996617
2065,,31.68958404429508,30.9738136558413,32.5618675466946,32.4874036676342,31.15350781009637,33.434452380628514
2066,,31.85422013767972,30.88695485010853,32.855196555105664,32.66233792076855,31.867334001248864,33.80853838214443
2067,,31.711601794913797,30.76002773313745,32.92133014236143,32.59684276995217,31.52716104478439,33.90241503994804
2068,,31.67568573405801,30.859032728751565,32.72645468322005,32.675030650603,31.388032687888558,33.98956566359531
2069,,31.96556140139437,31.012128267153724,33.00380172285468,32.85542889923943,31.738718995533173,34.03345520086393
2070,,31.86271364129537,31.17023599143577,32.784237110636745,32.6701703312139,31.25304861121924,34.189236661616256
