year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2068,,154.06503422854135,170.55993032770283,188.65618746708793,158.4431279620853,174.845096668148,189.5847814639284,156.44849921011058,173.35622357943782,190.4140337019484
2069,,160.23896787783045,176.7425568112772,195.75887309110058,156.0887309110058,178.56517101710975,206.3653199006422,162.44154818325435,179.27672062499934,213.17248370636435
2070,,161.34807793575567,172.98821241949204,193.11895734597155,151.10663507109004,175.82245041249774,202.05265929436547,154.08933649289102,172.0643646028738,189.56382306477096
2071,,151.66656134807792,167.60631101389393,183.23301737756714,152.93154291732492,171.69839998507388,191.48894154818325,155.14365455502897,173.8920454545454,197.00163243812534
2072,,161.63622959452343,170.59140438287358,185.9347551342812,164.0539757767246,176.27799092254074,192.68299104791996,156.45737230121114,177.4512589840322,194.71687730384414
2073,,155.87830437072142,170.61927330173773,186.8199578725645,153.02264349657713,168.7450914014895,186.05924170616117,153.34797261716693,180.98337787773232,211.54476040021063
2074,,159.55566087414428,174.42327945882445,189.9693522906793,158.16745655608216,173.42814230561427,198.57635597682992,155.89154818325434,177.58217251965587,196.4029792132921
2075,,155.71269088994208,168.95479402114472,182.71121642969985,160.18009478672985,173.2824042729256,192.25592417061614,153.87922590837283,177.40054574177796,202.53378093733542
2076,,161.10984728804635,174.250293676834,190.08773038441285,156.77804107424961,172.58894809161504,189.34860452869938,159.9418114797262,183.6426977117143,215.312822538178
2077,,157.753027909426,175.43271219494025,192.4330700368615,153.51316482359135,172.49914622993143,194.75934702474993,157.6982095839916,176.64029244506273,201.15358816429315
2078,,155.3506055818852,172.56924697209058,192.16045286993153,164.76224328593997,176.66136706275066,185.23301737756717,157.79928909952608,178.19439795770518,196.1258304841002
2079,,160.67219589257502,174.2437922793373,186.54644549763032,157.69562927856768,175.36217501953826,194.0286993154292,150.80674038967877,175.284348221552,199.7523170089521
2080,,158.03896787783043,175.53202090168918,188.9224328593997,157.602159031069,178.74132069620015,206.7525013164824,157.7290942601369,180.01816256082023,203.33454942849585
