year,ref,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
2062,,60.58141002880025,45.863849765258216,75.5758077879039,57.775212773970026,40.88097210715272,85.72162386081193
2063,,59.806051998264095,41.07566970450152,88.49765258215963,63.11912831713991,42.859983429991715,98.9828776581055
2064,,59.03023368972002,37.61198563932615,86.89560894780448,58.23534432979338,42.23888428610881,92.02954984810826
2065,,55.795939032890146,39.24689312344656,78.97928748964374,60.106186136426395,37.02651201325601,96.28279480806407
2066,,59.88817874567668,46.8025407346037,96.94200497100249,61.74548718334965,43.348246340789835,99.91576912455123
2067,,57.75240988414144,35.4197735432201,92.96465064899199,59.790175993572845,39.10770505385253,96.29052747859707
2068,,59.53251535355926,40.794255730461195,102.61447114056891,59.20092390349225,38.2046396023198,82.51808892571113
2069,,61.24948383109112,41.466721900027615,96.68047500690417,62.40604052120209,40.99420049710025,97.0016570008285
2070,,56.96508462539945,42.6106048053024,80.23805578569456,57.82739574703121,28.07346037006352,99.3910521955261
2071,,56.26309490932524,41.75338304335819,100.75476387738193,59.07922221385354,42.375586854460096,81.69594034797018
2072,,54.74462461040755,40.4092792046396,73.55675227837614,61.3909266651603,43.05136702568351,99.08008837337752
2073,,56.403229836535544,31.820491576912456,87.31372549019608,63.51771233461374,41.07097486882077,95.6050814692074
2074,,56.22769295511633,41.057718862192765,95.29384148025407,62.60889759232759,45.15299640983154,98.86136426401546
2075,,56.7666916531871,44.05081469207401,78.84921292460646,62.04622028068589,42.023750345208505,94.0149130074565
2076,,55.26857879301956,35.32035349351008,89.66307649820492,65.93152318545856,39.36895885114609,101.76912455122894
2077,,59.319840612301256,42.68848384424192,82.84120408726871,63.23076247144184,39.2002209334438,91.43220104943386
2078,,57.753014820951854,40.611709472521405,94.17923225628279,60.66629007556928,42.487986743993375,88.11129522231428
2079,,57.27540405833695,43.159624413145536,84.46893123446561,60.02815646104793,35.333885666942834,88.52747859707263
2080,,62.49035388803408,39.74951670809169,94.22148577740955,64.63775702342396,36.70947252140293,109.55288594310964
2081,,57.36684157230969,32.16321458160729,92.82684341342171,60.172139790615354,38.72217619442143,103.85335542667771
2082,,53.90090872029563,39.822977078155205,90.85501242750621,62.31235720920892,42.32560066280033,95.63297431648716
2083,,56.88489104562012,40.973211819939245,88.32256282794808,63.93176169315357,41.75144987572494,103.45042805854736
2084,,57.538722531266025,41.88511460922397,87.42391604529135,64.4747181843288,43.530240265120135,95.76001104667219
2085,,59.98140476848016,38.39188069594035,94.0138083402375,64.91009515201728,39.169566418116545,104.84313725490196
2086,,52.39499743559395,33.676608671637666,73.84534658933997,67.12988626948858,43.633526650096655,110.53521126760563
2087,,58.129877303033894,38.00359016846175,89.56779895056614,66.14600436845673,41.7992267329467,103.6244131455399
2088,,56.14513223129628,36.629107981220656,91.55785694559513,65.77189877231302,38.02209334438,105.39132836233085
2089,,57.135426940729346,40.466721900027615,79.11267605633803,67.33526650096658,39.42253521126761,112.75724937862469
2090,,57.22544416827763,40.69953051643193,82.30323115161558,64.0446134920037,38.32780999723833,102.29356531344932
