year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp45_10,rcp45_11,rcp45_12,rcp45_13,rcp45_14,rcp45_15,rcp45_16,rcp45_17,rcp45_18,rcp45_19,rcp45_20,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9,rcp85_10,rcp85_11,rcp85_12,rcp85_13,rcp85_14,rcp85_15,rcp85_16,rcp85_17,rcp85_18,rcp85_19,rcp85_20,rcp85_21
1995,23.51123,21.9660365770834,21.664348108654735,24.02226697445201,22.509678572933126,20.642958433655167,18.6655814681086,20.885394055654842,22.039015274000235,23.4980137433231,20.381001393837835,22.598104004644995,21.55361553345847,20.171867472496615,22.205359970710504,20.095364669096227,22.636709620464046,21.839595414198982,21.85616106491716,20.32516418373956,20.996728423697107,19.964340863555037,21.9660365770834,21.664348108654735,24.02226697445201,22.509678572933126,20.885394055654842,22.039015274000235,23.4980137433231,20.381001393837835,22.598104004644995,21.55361553345847,20.171867472496615,22.205359970710504,20.095364669096227,22.636709620464046,21.839595414198982,21.85616106491716,20.32516418373956,20.996728423697107,19.964340863555037,22.4451727395533,22.392126818650524,23.40018881929541
1996,23.372986,21.114299713336663,22.70193426004039,23.59712605073514,22.431383633259088,20.530067884440427,18.75193083938774,22.090046009170294,21.840733517123624,23.190306876486318,20.522770398878833,21.644091680078304,21.94239965603964,19.916704351456815,21.256503987434826,20.507003860899317,24.183846279269915,21.889781006567603,20.798284649163293,20.387842444699743,21.033851679215047,21.338342301016837,21.114299713336663,22.70193426004039,23.59712605073514,22.431383633259088,22.090046009170294,21.840733517123624,23.190306876486318,20.522770398878833,21.644091680078304,21.94239965603964,19.916704351456815,21.256503987434826,20.507003860899317,24.183846279269915,21.889781006567603,20.798284649163293,20.387842444699743,21.033851679215047,21.338342301016837,22.550204961890586,22.483813191684476,22.934823226568483
1997,23.561493,21.306375556489968,21.743344480006442,23.50830707497761,22.686108095402005,20.43955817491252,18.933462863933926,21.450512466543557,21.84183284326184,23.168028198253182,20.504951642931417,21.788429188432985,21.87169060783083,19.787443160107046,21.470938158619845,20.494959838991804,22.952082367601406,22.970760912800813,20.99639390136025,20.774420780191235,21.00890277111779,20.83423987817332,21.306375556489968,21.743344480006442,23.50830707497761,22.686108095402005,21.450512466543557,21.84183284326184,23.168028198253182,20.504951642931417,21.788429188432985,21.87169060783083,19.787443160107046,21.470938158619845,20.494959838991804,22.952082367601406,22.970760912800813,20.99639390136025,20.774420780191235,21.00890277111779,20.83423987817332,22.452445376305207,23.357100228609227,23.026190172456722
1998,24.275543,21.90028619527999,22.196083918043655,24.126665743551428,23.51026293072465,19.93315630519885,19.621952571391716,21.480332477067748,22.14068471432722,23.348421583820027,20.55417047056625,21.881189476470865,21.119053833508644,19.967416248183838,22.151097857974435,19.47204952604079,23.1004124127802,22.197653127107287,22.021695345213402,21.530012598453823,21.46146503957192,19.476179916675164,21.90028619527999,22.196083918043655,24.126665743551428,23.51026293072465,21.480332477067748,22.14068471432722,23.348421583820027,20.55417047056625,21.881189476470865,21.119053833508644,19.967416248183838,22.151097857974435,19.47204952604079,23.1004124127802,22.197653127107287,22.021695345213402,21.530012598453823,21.46146503957192,19.476179916675164,22.83215157169485,23.18101263016149,23.344626882540126
1999,22.975311,21.128257235516287,22.322276798276903,23.582983943026477,23.837490907768824,20.183575570557593,19.950990671442185,21.78850323928583,23.206684110086485,23.741253157956407,20.381049670096047,21.320481964674173,21.109636834639616,19.186161428071102,22.520790202148362,19.85363536917356,22.670101621001038,22.286480574310815,21.579244212420292,21.6865785793305,21.930057619773777,19.796577985872375,21.128257235516287,22.322276798276903,23.582983943026477,23.837490907768824,21.78850323928583,23.206684110086485,23.741253157956407,20.381049670096047,21.320481964674173,21.109636834639616,19.186161428071102,22.520790202148362,19.85363536917356,22.670101621001038,22.286480574310815,21.579244212420292,21.6865785793305,21.930057619773777,19.796577985872375,21.941234474233852,22.96244088859396,23.155790178218297
2000,23.254791,21.68876781444743,22.11804743600925,23.5888596959,22.856496840406862,20.282598072465873,19.362083825382,22.011481064286784,22.365187277037535,24.134725331206653,20.99236184047612,21.8887413114021,21.842143828164865,20.2151263313537,22.346672363505036,20.344870836550342,22.192295171524563,22.6283121830528,21.042961563086465,21.11369601151773,21.873618609731977,20.69359046321364,21.68876781444743,22.11804743600925,23.5888596959,22.856496840406862,22.011481064286784,22.365187277037535,24.134725331206653,20.99236184047612,21.8887413114021,21.842143828164865,20.2151263313537,22.346672363505036,20.344870836550342,22.192295171524563,22.6283121830528,21.042961563086465,21.11369601151773,21.873618609731977,20.69359046321364,23.234193634883297,23.78640173390727,23.042035117663204
2001,23.553253,21.864963080748453,22.119480410418703,24.096695708424647,23.574387770852184,20.360820992148888,19.432277860281488,21.952769276350352,21.946862114185365,24.288711051182418,20.83869600690997,21.946600213131944,21.95153023116802,20.122953772800997,22.53912169695792,20.271866045485865,22.441276931795187,22.332273503212036,21.005359736789217,20.91606138920872,21.764162271386397,20.71400416173873,21.864963080748453,22.119480410418703,24.096695708424647,23.574387770852184,21.952769276350352,21.946862114185365,24.288711051182418,20.83869600690997,21.946600213131944,21.95153023116802,20.122953772800997,22.53912169695792,20.271866045485865,22.441276931795187,22.332273503212036,21.005359736789217,20.91606138920872,21.764162271386397,20.71400416173873,22.92386367678165,22.67913244076766,23.172276342202508
2002,23.95816,22.036037705928493,21.842390588345438,24.128292145580645,22.752267187858422,20.701447332103726,19.492140358167887,20.996583158084547,22.322806895428585,23.512492996079686,20.392404151006133,22.711364076904715,22.00248349598826,20.19892171428984,22.700299530028246,19.66088009115822,22.603293461618875,22.654297099842438,21.987482191187098,21.44422387908105,21.684284982545478,21.748335582530103,22.036037705928493,21.842390588345438,24.128292145580645,22.752267187858422,20.996583158084547,22.322806895428585,23.512492996079686,20.392404151006133,22.711364076904715,22.00248349598826,20.19892171428984,22.700299530028246,19.66088009115822,22.603293461618875,22.654297099842438,21.987482191187098,21.44422387908105,21.684284982545478,21.748335582530103,22.593579052909263,22.979675008572485,23.638841475906247
2003,23.613129,21.208805548958424,21.953743154682684,24.204823566505183,24.109122902265085,20.757304365843368,20.480936599992447,21.344055937255405,23.38483564784093,23.42690495403491,20.357819673158303,22.0135828011027,22.536888823780714,19.969178768579525,22.331908729213183,20.02002809972015,22.996618642700696,23.22045044623053,21.2260776174395,22.19359151886249,21.976966662298537,19.916037913435105,21.208805548958424,21.953743154682684,24.204823566505183,24.109122902265085,21.344055937255405,23.38483564784093,23.42690495403491,20.357819673158303,22.0135828011027,22.536888823780714,19.969178768579525,22.331908729213183,20.02002809972015,22.996618642700696,23.22045044623053,21.2260776174395,22.19359151886249,21.976966662298537,19.916037913435105,23.223216095271027,24.010735361044567,22.899927043125672
2004,23.685272,21.299546115046724,22.686421751006264,24.079598587953228,22.773597667417732,20.62931318214862,19.41835666183664,21.599996325530014,22.293357763595736,24.174481472745015,20.694604123633383,21.874822560924883,21.883254996095218,20.42283809016908,22.692158862407496,20.572351383680427,22.79762423214686,22.991346319220213,21.13929849448124,21.170010658997512,21.797739917463957,20.027806470360417,21.299546115046724,22.686421751006264,24.079598587953228,22.773597667417732,21.599996325530014,22.293357763595736,24.174481472745015,20.694604123633383,21.874822560924883,21.883254996095218,20.42283809016908,22.692158862407496,20.572351383680427,22.79762423214686,22.991346319220213,21.13929849448124,21.170010658997512,21.797739917463957,20.027806470360417,24.103695191610598,24.499966231334042,23.064298787773964
