year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
2063,,-216.38604112958225,-563.6752146892051,-59.1040543933874,-207.35775400857182,-668.0819527311613,173.54953289286527
2064,,-206.8425336979299,-601.5587558816253,-23.397880965702825,-176.36627769021442,-581.0719190997371,169.92442249810188
2065,,-163.0220209471794,-519.2103653819787,70.45129381199285,-158.24058382511902,-791.3933529356483,126.58541582838438
2066,,-181.84286415166542,-835.4350398515844,88.83605424798816,-204.17746936476115,-767.8531146359774,63.764630015653665
2067,,-182.43089189917683,-652.8594835242372,19.98280224606856,-188.72528602183095,-788.1948214694119,115.96217007162795
2068,,-190.43241447020554,-891.0746039808763,83.99606194097282,-175.5356715257839,-508.7810100574156,211.2876157440653
2069,,-197.59990570321253,-615.3241495366733,89.50562469716397,-206.9333814795711,-640.3421042022899,158.79930494159976
2070,,-171.75699804398582,-564.6086411833649,116.69264775232932,-156.82962965227924,-669.3096877374638,154.56769680114826
2071,,-173.54291509634194,-749.6264252910162,6.993726431445111,-152.70935986432835,-512.0754366912211,111.41688998350355
2072,,-166.0343756791315,-590.7591039585236,49.55612829263896,-168.39939637913173,-650.9255252653387,71.06507960193812
2073,,-159.16280326869125,-670.6924942808108,96.24471199849586,-194.50360024599803,-772.9876133176795,63.08999363608518
2074,,-175.13405724707792,-723.9099754175118,-3.2800416579149214,-187.3201698650487,-739.6624926049489,221.00477922225764
2075,,-156.53901844328536,-531.9890345939798,13.177712040592041,-204.8593044906246,-747.8622590662912,85.09717105433128
2076,,-137.8984862156856,-576.783602209882,111.70218617596083,-222.7047092792436,-759.0051474385998,-39.518486903246185
2077,,-152.40446861629894,-521.5751443513063,164.33216123986745,-197.24859246335646,-624.4120603612384,16.865252227186375
2078,,-162.5115888718214,-606.0367067835316,162.7807804502013,-171.9777600093258,-604.2093052871724,69.08716081956504
2079,,-166.3673930541382,-628.8210823353471,115.26331180102238,-145.4207321472162,-571.9126136646921,93.28649568921901
