year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
2032,,2.2278944099897955,3.2976385759531195,1.9028599804343733,2.002072670626379,2.4635837967300804,2.763978067544599,2.951604641284125,2.2428646914368304,2.004280816449971,2.675168151962704,1.7349926050870281,2.2850222047436204,2.211971652198925,3.048284526141317,2.9134543592071176,2.584158637115538,2.9575535015848637,2.9694587647147617,1.0996463879682892,2.5718918333467338,2.526856956681341,3.087678804721357,2.325695713667296,2.5628907648138326,1.7334200141074283,3.5465240461144156,1.6986568643444453,3.190257661314815,2.4643038121927434,1.7156714571235805,2.0518312430271566,2.379291725990729,2.0805602984487193,2.6368216073630113,2.6646095398640535,2.3426665918977605,2.3805519801340793,2.60747852998228,3.2328544259657104,3.0875064357301385,2.7043175223251916,2.0136253901163457,2.562432277260136,2.546427480902572,3.7533715105170513,2.963906706999996,3.059366266876794,2.967568283950809,2.201302215042103,2.470561835284785,3.8988331147785678,1.5100590920008103,2.2644984472341676,3.217480692359858,3.042710133861541,1.8702366012570735
2033,,2.4931322069650292,2.41385253490502,1.993542593315071,2.928493036810854,2.5286369357575853,2.479220666719641,3.068189500407491,2.8478522590358786,2.920040056648211,2.9503879340899806,2.052080787989862,2.3338059968826506,2.609518073743519,3.0472561275072136,2.8244834955501403,3.1621689537290605,3.2223575878609587,2.6840023049978985,1.8749023702578795,2.248770791865507,2.2600363061834963,3.108455943245413,2.7564496911101877,2.583807631491812,3.160164251257763,3.3708936726579477,3.111940515363079,2.7150442834746444,3.432343006551242,2.102290292729605,2.287903243704883,1.7049525372053587,2.567150542713196,2.032127208047815,2.78600801493595,2.2455957262621795,2.547871671911396,2.669175498821402,3.5675501056197625,2.1479948495791557,2.703265467687368,2.303435057649107,2.95043366488225,2.9902161181863076,3.8835266372479773,2.824654292957908,1.8508912194891414,1.970951493632616,1.813479092106077,2.3410007873428516,3.683348424241356,2.8274208006093433,2.9454902055933703,2.6895135137437056,2.888648700857243,1.8309428788653124
2034,,1.9403393524207084,2.4775342716187367,2.679643644799636,2.3589104819256907,2.265381199949908,3.2280445406350493,2.5678474775632116,3.4375609969231116,2.5489339394650075,2.603778341529021,2.1736999077846804,2.7520269927056447,1.9307552681187896,2.066770573714063,2.4599374913006695,3.00802062739519,2.4019790538788754,2.6684624499046796,2.228962221603301,1.8902181740593478,2.281004859409437,2.1592912566894156,2.4142455194793966,3.4408483050020604,2.310929297399285,2.289156397717175,2.312134400324877,3.0210919196503365,1.8770011218480924,2.655109903625984,2.4360832010243616,2.4771726154090685,2.291778230211258,3.4518705574215454,3.678991415766614,2.553746688139789,2.924422264378328,3.0404875297364757,2.104358883604455,2.5083345026034647,2.938904889813773,2.3607716532216148,2.262193087108468,3.1870561766856946,3.0668311630954124,2.730719591509261,3.357177094145157,2.8993278556007596,2.462707021503555,2.516801279372739,2.3286824973366533,3.2778909128207467,3.5322225620003307,2.107678808102276,2.8048075546341407,2.117714872290459
2035,,2.7355614044362557,2.5184673428088766,2.111513982137708,2.6547557923971388,2.1059047225630048,3.019253740864344,2.577167586349644,1.9212229552811197,2.017282886568386,2.5307050078398357,2.4215756170123144,2.3270181420232414,1.8187487249803065,2.0462666044234563,3.056450705605183,2.509588564954056,3.0215653429028952,2.8115265801489224,2.125317791284057,2.2398337584494135,2.7052188368516785,1.9506737806143417,2.3860436147125412,2.973195898436228,1.7389568470707042,2.7535453341216707,3.084048801883087,2.8894265323953325,3.5810129873609604,2.5675159209652523,2.480374500867097,2.036801218410711,2.5557917355332997,3.267218166634474,2.6133216525540703,2.152509405065109,2.3868987486954483,1.5826995235027772,2.1614005493459962,2.290302407574514,2.87845585422746,2.1888503517897377,3.147581577952726,2.3938283633817354,2.2249719401852146,1.9563088852032409,3.0374163281283093,2.2434971180664522,3.073602305965718,2.5790416961718647,2.160384502215162,3.063176712427683,1.834239871843783,2.190589619234788,3.161893203355126,1.6724678084041438
2036,,1.7124035439237852,3.1511317255218527,2.35612215035381,2.233221815805627,1.779738121062731,2.3954552452306666,2.3212242183530662,2.4655202698177967,2.245506182521696,2.2878887158007815,2.159604056629055,3.189415157963658,2.269693582619082,2.456315922296774,2.7953563170286992,2.953624447571036,2.892535971499384,2.0140695151912578,2.6697028177754336,3.1256202350399565,1.920178073860092,2.6970252186732866,1.9069816831565034,1.9272512624408558,2.973164291414286,3.278487902719274,2.0930951356002456,3.0450332080852895,3.115059452469513,2.494149689252699,2.454284173207234,2.480490912895914,2.265242085207339,2.7416128860167177,3.1868923616834524,1.8579402722023057,2.1512940350751997,2.3996256555018203,2.5739358686908442,2.1239146236056436,1.9767757863460766,3.651399634545113,2.3335320095460528,3.0716474184593934,1.7963284611743449,2.728571910825991,1.900152736459884,2.44125485285152,3.4626083577438425,3.332362092138572,3.023642161155881,2.4114752478537733,2.1921802725947837,2.7445740657291866,1.9721808574025028,2.414574083856465
2037,,3.2392192371223767,2.295018095363285,3.302713227323549,3.3462363712245575,2.7043243999855977,2.4247173837754925,3.1654660988794814,2.133022919080609,3.003078602514006,2.7736746297398485,2.2630358635774797,3.240947465742613,3.2533012706659434,2.6959903395761327,3.219931939911364,2.514900736000361,2.701555215689601,2.5335998746687403,0.9660357773309669,2.5239743264306154,2.814198657890992,2.306575342941123,2.318034224614117,2.1755484293538023,3.0055023659934603,3.1378288473853804,3.1100239266111327,1.711283043395271,3.5253542139598415,3.9257275516495764,1.4837664567176772,3.0752414860267727,2.812521609701547,2.735619199068111,3.267076977824146,3.1947124909681945,2.4791795437706994,2.8831673774343107,2.6713939025077083,3.129260489374954,2.1560448663645926,2.3277284686283894,3.241383897909203,3.0674390044962374,1.534367228313463,1.9484140086885298,2.6657171307954988,2.99581308847217,1.329118987844058,3.3501562639662006,2.7763142031990617,3.3810865824328866,2.7787636693583244,2.358809443089611,1.931823929388993,1.061508364706932
2038,,2.666120110452421,2.9067593459747942,3.2881645092824012,2.684132724675558,2.8887910888452026,2.953352171119195,2.950148824330138,3.047694138711054,2.7997268565801523,3.2521265121182665,1.8239280727887341,3.509195990504364,2.1956991159750463,2.772391018481831,3.072605752366709,2.4157303671682087,3.2714502252456428,1.9227616091993656,1.9932235537547627,1.3379965325613696,2.8805458046986505,3.035350886973566,2.703234040709729,2.7643037745422316,3.5710992758404183,3.1499742416700873,2.968140754059724,2.670620100561921,3.3286015672245015,2.5402631556408988,2.4666606236890813,2.930596282920354,2.6934057083960163,2.389052247294856,2.914678220031451,2.7540470858852015,2.990413536745989,3.814241661300651,3.0059114644769522,2.9417572118033135,2.548882665828067,2.1770948333735634,3.526075181925012,3.0222509831938598,2.560937645530425,2.1927809774836926,3.063980198374647,2.1768083082658523,2.555901394664334,3.1653263000092364,3.4089499227539717,3.212605459537189,2.780568046972834,2.16662105920038,2.727542379729692,2.3574883675439637
2039,,2.00849944740639,2.893187738123192,2.8652124972481867,3.409696553322387,3.339810154086892,3.521802800040775,2.69274057282403,3.30770771339416,2.699059277122692,2.117100203450621,2.3897560497235486,2.708523571954013,2.702642093575712,2.7946707523777046,1.9992945046864943,2.785727505840735,2.8712240609215955,3.1070034534452176,1.7402056953542058,2.0138287511902586,3.367113585045326,2.3018306343172132,3.202950404021308,2.922075040795386,2.287671187196312,3.2058279286508826,2.9786076586825665,2.9679501097054164,2.835252816920335,3.2692325439092373,1.397699991079433,2.41271646113272,3.0029122544124647,2.2505880299791463,2.994035331312429,2.4775109341732535,2.3381089628575626,3.166033926485287,1.7898183717602927,2.698689323215964,2.5967675486527058,2.3902720604293557,2.4672164595820703,3.328242989059486,2.540922382854653,2.283848300875105,2.9960514797383984,1.7701026600133125,3.7879411203378126,2.6714658866365055,4.043958310106687,2.8881079214499743,3.11377305388813,2.3783671138479314,2.3110815526262973,1.4336686279800022
2040,,2.567845599469462,2.181611795815287,2.253545820987007,2.4125857554260537,2.160563178954183,2.4348833426192744,2.7339775833557107,2.208132095546603,3.286035776099313,2.6279448863777053,2.0155366175462444,2.6890173371906645,2.46585658310969,1.9900313424002278,2.0951433840140172,2.6973358675236856,2.59035162706006,3.7519717529603995,1.8320312648459587,3.237933322469486,1.9784849427764342,3.2016417405504924,2.170115440330505,2.482791444627927,3.397104424005577,2.053151739894898,2.8481003817457835,2.298426493763766,2.251995752387839,2.677234197226772,1.7106837354591191,2.8026370238175864,1.918398458681653,2.7141679310205142,3.906126174512477,2.2356963267160195,2.308207107384112,2.74743017017688,3.19946781368635,2.1144658583162363,2.5438003299861163,2.0458096070347347,2.4643842258420756,2.250211954028984,1.9634195272293984,3.3168825104373734,2.5503668947364386,2.181438560292548,1.4352020406352288,3.297856221542016,2.740171732453033,2.7591039019893833,2.130810092977592,3.2777427139203796,2.145538279765786,1.6944784152013188
2041,,3.11117550024653,2.747044357620031,2.838711511508979,3.6571181767297936,2.0686709141941444,2.3070331602927934,2.43941899997379,3.3841304365705778,1.5811034154117432,2.326907090357281,2.7488925997093423,2.667937974156013,3.789864653979886,2.89150305759483,2.0620375282593706,3.15107735029713,3.0247049966042967,4.103723128361946,2.2906022687941268,2.233073399539278,3.0870884291095426,2.5119680137117166,2.1825472948243885,2.5221105965078223,1.9743539130604781,3.17896359851837,2.7588192471073696,2.6734695413946863,3.1243094669034925,2.6802992565900787,2.8788413206870205,2.573001598951088,3.5178316878067504,2.0711337780288455,3.798546857802698,3.179571829420669,2.303973054654694,2.5249367444437354,2.9294942472804872,2.9193153218999184,2.841947625100835,2.4874605426695497,2.3484562964099465,2.8536383706137163,2.2978739113108007,3.051326269114467,1.5942676427685432,2.5831857626848658,2.3537661734620072,3.3480520233100117,2.9232874011206214,4.015164244197021,2.6810609123739475,2.8781722541893395,2.223542791824591,2.087985924121262
2042,,2.213052384966288,2.7361723070471613,1.9430521593825427,2.6936487274796743,2.672132348697468,3.3493341195444533,2.5701534332474916,2.6561552795640133,3.070396607177377,2.759005851118176,1.9773444756901166,2.3118050080082524,2.4404578365883713,2.151784313419607,2.6524049545479627,2.7796914322161754,2.828295235534807,3.529933378007451,1.8412767395921739,2.8105507365814075,2.173361135930624,1.7237740698211679,2.6503390363242127,2.8107260734200263,3.0407610263716083,3.889027396287477,2.5909686492692425,3.0190184588441857,2.416656913784879,2.8342842945463538,1.8156389982415906,2.092567085656534,2.0807639519487466,2.2083307779766397,3.1464523287146973,2.7785004183470496,2.0922583795506755,2.922319770163462,1.9072984469060392,2.4059001876598476,3.8568020042156377,2.0171570921642132,2.4614895355575634,2.581544178491772,2.6631291733463076,2.828185341454825,2.0707232295961604,3.035501191885995,2.917197636905951,2.630242370223076,3.133516198430602,2.8121902711887894,2.3796643629566576,1.791193608357789,2.7044826889616793,2.391466552021792
