year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2004,0.0,1638.9894535861113,1723.975244709053,1791.2615265082518,1582.28601384701,1725.6219546798795,1854.0027865593306,1555.2232126401407,1714.2082876700442,1847.0162802956888
2005,0.0,1638.2826870392742,1691.27438200106,1761.137831122929,1597.6752431215425,1700.0712060969527,1821.6123355780594,1574.6491246890682,1688.9513213445637,1815.5520564952767
2006,0.0,1642.577507502273,1717.8951690259335,1781.0616210363514,1558.7838254645642,1710.24534099612,1807.654656048617,1539.9479046366923,1684.974560728113,1825.0917891761674
2007,0.0,1698.717399506741,1762.0279710426444,1825.07015517758,1554.1058193977874,1697.3913302642918,1802.9573039615489,1510.2209675870163,1672.639376352543,1897.0920340242283
2008,0.0,1669.8572122937726,1752.9612804952892,1839.5166181356158,1553.8186283341677,1727.7143609962227,1855.3205895679207,1479.6533659811628,1696.5130588449513,1838.8998049714696
2009,0.0,1691.053980512244,1764.1213987108836,1812.4895128198345,1545.8766038446438,1707.42437597303,1848.0262564700024,1454.8762755572889,1684.5176268032683,1866.8738066203484
2010,0.0,1684.0776625986377,1751.4659430564454,1826.2034512071127,1596.0410823509433,1754.2088739209717,1865.8525539705302,1566.400363057466,1711.5776869619458,1832.8728098664249
2011,0.0,1657.3841854761408,1748.2130789157013,1836.9649602838845,1569.6110347371548,1755.1682516483556,1874.572998272049,1577.7708917188515,1705.274608263413,1865.8546328295972
2012,0.0,1591.2927637661694,1731.7394466879764,1858.1244664435199,1518.0813203960274,1709.4948282305668,1859.2527533973675,1519.8172889844502,1695.8662677829586,1834.4692164664134
2013,0.0,1574.0720700671745,1721.6077661738673,1834.5706476693372,1477.84429665284,1706.3304690527923,1803.5350798529398,1502.0252223547568,1719.7549906648503,1881.5848902990867
2014,0.0,1655.4411230257797,1748.8342235574535,1838.870427453998,1562.5156425999492,1734.646514828109,1877.2013340381814,1534.8000789184994,1723.462681867226,1849.1191595243233
2015,0.0,1658.3141908082503,1756.338632134797,1846.0501044856974,1500.9473018614185,1744.012258570663,1910.367742843709,1521.3713825292716,1681.5836592777232,1811.755608832742
2016,0.0,1691.9233371096057,1776.5375080402675,1843.4360446901578,1607.630020170311,1737.862094980455,1908.1197710921258,1682.745772060272,1757.4316854606768,1878.792741169865
2017,0.0,1735.854485803736,1774.2215936816308,1817.8716955002092,1594.4180387876102,1714.279641067497,1821.935424399102,1480.6943916466514,1707.0299126301547,1819.093583665561
2018,0.0,1631.2945094272427,1780.4639350858838,1913.7336612424974,1552.4469944019208,1742.4215385183463,2002.012214003699,1597.6743639245674,1723.758982736108,1846.8949543632182
2019,0.0,1714.6245041475186,1776.4736123495325,1858.7037561521126,1594.9403851502639,1726.237088297276,1815.2045264683256,1576.6950440650555,1726.1008903140223,1847.4837706496053
2020,0.0,1668.1189048004871,1752.990062779832,1829.797315160929,1619.9854788472103,1736.7629635304697,1838.4697001774928,1596.2791029939992,1733.4306761253185,1883.860014659714
2021,,1632.9077062643978,1744.1594154443283,1819.5582329032272,1611.0881092203972,1764.7429891244133,1877.7698173899116,1575.9452509153905,1702.580717850904,1815.740254680217
2022,,1656.9449720772081,1741.4357397098079,1801.65291681716,1619.2773507688594,1754.6097134559473,1873.00940664731,1564.6783766509936,1750.0709810532658,1864.4267398866932
2023,,1679.6438874140003,1779.4452159427315,1850.63605805124,1650.513940170562,1773.087098231016,1896.4519499431224,1588.9409564945001,1762.31555950756,1887.5486265111997
2024,,1663.2589498219754,1735.6928922401235,1822.253907783427,1653.1149510045109,1756.5099430538364,1881.6049893666336,1600.5399969643145,1747.349357446409,1876.1009971455262
2025,,1675.8703011114694,1749.9535238063836,1811.5269962102689,1613.8858267093863,1755.8258142115567,1865.161227652955,1574.5969480901742,1745.8313707186928,1842.0055303810561
2026,,1712.5951082269576,1770.3992889287888,1841.7008444643402,1652.106401420089,1787.1858327069422,1934.3214611157448,1542.3971632079363,1756.7054212481567,1895.366842226209
2027,,1763.5104575745213,1811.1955060564276,1850.9986129215113,1600.9449804799183,1763.8603249140906,1928.0257611800403,1603.8961539021714,1767.1833380699431,1932.2264911285013
2028,,1644.6050503829092,1772.6747462285216,1862.6131474397353,1639.4799088714199,1769.1859187910297,1906.8712125545565,1588.844848060124,1749.4876365037533,1935.7599277330755
2029,,1747.5703962113953,1798.2171991139107,1850.8251714834723,1590.7360887580787,1771.6104431084157,1858.866284304306,1556.8967712244764,1761.2778039304412,1936.0441269799421
2030,,1675.783022740309,1812.8292457737923,1930.1378745943894,1664.5235685240339,1768.1150124155865,1845.9623753593623,1600.4715874946446,1769.9832790474356,1906.5871937522688
2031,,1691.6542036201604,1792.1528932124506,1857.9282143999517,1598.9325743974182,1750.2409634756598,1927.85652801498,1625.1190653772562,1749.920688151734,1857.130215820111
2032,,1752.0973730583075,1816.4065902926218,1888.5294102768903,1630.5794994101552,1772.2101180452034,1920.5852992704586,1598.3276724841753,1794.2595946179906,1950.7559316359493
2033,,1690.7043155286824,1807.3589686000873,1929.5088983205637,1650.7192702622974,1774.3439799548498,1910.62084690733,1630.804836776673,1780.4514431101156,1959.2186025782119
2034,,1677.399870880558,1728.3943508630423,1785.8100623375162,1628.3185227032818,1785.9208008827932,1926.4072199860261,1646.2003125343663,1787.6957756937463,1916.266278309877
2035,,1689.134815688046,1793.761888349623,1879.854826712246,1622.3154856924846,1775.6403397866422,1986.404623375549,1572.7203776043916,1731.5582929411198,1821.6009177297105
2036,,1729.6739182158947,1818.8997510906258,1882.3093061515926,1582.58155620275,1766.0801024813622,1869.0229121432685,1653.5697774011867,1764.2271795147087,1886.1128948531252
2037,,1695.944114670863,1787.713630571038,1873.2640831591057,1597.5348122776588,1765.2914768384962,1912.2543541014218,1669.923899742397,1796.876913651776,1920.9059536353136
2038,,1693.532806211363,1804.5466181431505,1898.3927670901626,1639.7665165137794,1800.140946666741,1932.9022378781508,1608.9263717274594,1765.7433110789054,1843.172449604868
2039,,1753.7952775638478,1849.1314707813472,1918.1984378199456,1574.659760002089,1780.0510280985534,1950.5362046040773,1646.5701754070822,1802.5124890844443,1945.0246304531556
2040,,1666.503590098349,1812.7804967132731,1944.3889197985236,1671.5676103471726,1777.3644094055064,1890.4318737631336,1704.0964046693584,1797.9654202397141,1883.467201790384
2041,,1612.7236731578719,1759.526088665123,1919.4536407691155,1705.4209153138765,1785.108485394709,1897.1880284848585,1677.1215166633483,1794.8486289115874,1917.2641047174147
2042,,1666.4480831699398,1785.7438646740502,1865.3889438595593,1630.9209779825799,1799.3783616159078,1918.5664278021493,1672.9905629864609,1806.7592603313,1898.5160893470309
2043,,1590.1433424687189,1746.49998791078,1900.4837377494096,1679.143534415685,1833.9342778990328,2021.2252496332062,1652.3080972915648,1805.5512179818907,1975.7071203012406
2044,,1763.6010873298223,1830.8421240922914,1894.6615972606437,1704.2514278147778,1819.7533328191362,1974.6946098607086,1711.9518129163075,1819.2407286090365,1933.6617213763784
2045,,1640.379654978015,1759.4365656075177,1850.7357193330718,1602.7229188382883,1775.4435353660963,1877.7687901777704,1613.4061289834965,1817.341121191877,1971.4077941954097
2046,,1651.8072025585448,1798.5363533575626,1901.9513263478136,1613.2598710624566,1795.4834367655578,1943.2430698776172,1725.9202571430565,1809.7830673908556,1876.5874244566805
